id,latitude,longitude,number,markerLabel,type
1,25.182407,121.409671,1,,life_buoy
2,25.182329,121.410456,2,,life_buoy
3,25.182091,121.411891,3,,life_buoy
4,25.181814,121.413112,4,,life_buoy
5,25.181115,121.417595,5,,life_buoy
6,25.178107,121.419628,6,,life_buoy
7,25.177512,121.419873,7,,life_buoy
8,0.0,0.0,8,,life_buoy
9,25.175613,121.427954,9,,life_buoy
10,0.0,0.0,10,,life_buoy
11,25.175162,121.430842,11,,life_buoy
12,25.17474,121.431227,12,,life_buoy
13,25.174497,121.431699,13,,life_buoy
14,25.174372,121.432158,14,,life_buoy
15,25.174305,121.432491,15,,life_buoy
16,25.174083,121.432949,16,,life_buoy
17,25.17391,121.433312,17,,life_buoy
18,25.173804,121.433532,18,,life_buoy
19,25.17386,121.433745,19,,life_buoy
20,25.17357816,121.4338415,20,釣魚觀景平台,life_buoy
21,25.173471,121.435019,21,barbershop前,life_buoy
22,0.0,0.0,22,,life_buoy
23,25.172681,121.435301,23,淡水長堤咖啡旁,life_buoy
24,25.172316,121.435876,24,,life_buoy
25,25.171891,121.436524,25,水灣餐廳前,life_buoy
26,25.171637,121.437092,26,馬偕上岸處,life_buoy
27,25.171081,121.437496,27,,life_buoy
28,25.170639,121.438084,28,,life_buoy
29,25.17046,121.43837,29,,life_buoy
30,25.170165,121.438768,30,,life_buoy
31,25.169776,121.439264,31,,life_buoy
32,25.169565,121.439815,32,,life_buoy
33,25.169179,121.440794,33,,life_buoy
34,25.169099,121.441118,34,,life_buoy
35,25.168737,121.441579,35,,life_buoy
36,25.168522,121.441888,36,,life_buoy
37,25.169323,121.442317,37,,life_buoy
38,25.167802,121.442672,38,,life_buoy
39,25.16752,121.443121,39,,life_buoy
40,25.167655,121.443438,40,,life_buoy
41,25.167749,121.44375,41,,life_buoy
42,25.166481,121.445197,42,,life_buoy
43,25.166228,121.445632,43,,life_buoy
44,25.131271,121.452161,44,,life_buoy
45,25.138801,121.450115,45,,life_buoy
46,25.143709,121.447682,46,,life_buoy
47,25.145009,121.446897,47,,life_buoy
48,25.152812,121.441797,48,,life_buoy
49,25.154567,121.440895,49,,life_buoy
50,25.159727,121.434249,50,,life_buoy
51,25.160271,21.433426,51,,life_buoy
52,25.160767,121.432671,52,,life_buoy
53,25.162204,121.426895,53,,life_buoy
